Sample	Group
2D_CM_1	2D_CM
2D_CM_2	2D_CM
2D_CM_3	2D_CM
3D_CM_Spheroid_1	3D_CM
3D_CM_Spheroid_2	3D_CM
3D_CM_Spheroid_3	3D_CM
EB_hCO_D15_1	EB_hCO
EB_hCO_D15_2	EB_hCO
EB_hCO_D15_3	EB_hCO
EB_hCO_D17_1	EB_hCO
EB_hCO_D17_2	EB_hCO
EB_hCO_D17_3	EB_hCO
EB_hCO_D19_1	EB_hCO
EB_hCO_D19_2	EB_hCO
EB_hCO_D19_3	EB_hCO
Primary_Stroma_hCO_1	Primary_Stroma_hCO
Primary_Stroma_hCO_2	Primary_Stroma_hCO
Primary_Stroma_hCO_3	Primary_Stroma_hCO
Extended_hCO_D30_1	Extended_hCO
Extended_hCO_D30_2	Extended_hCO
Extended_hCO_D30_3	Extended_hCO
Extended_hCO_D50_1	Extended_hCO
Extended_hCO_D50_2	Extended_hCO
Extended_hCO_D50_3	Extended_hCO
HeartDyno_hCO_1	HeartDyno_hCO
HeartDyno_hCO_2	HeartDyno_hCO
HeartDyno_hCO_3	HeartDyno_hCO
HeartDyno_hCO_4	HeartDyno_hCO
Fetal_Atrium_1	Fetal_Atrium
Fetal_Atrium_2	Fetal_Atrium
Fetal_Ventricle_1	Fetal_Ventricle
Fetal_Ventricle_2	Fetal_Ventricle
Adult_Ventricle_1	Adult_Heart
Adult_Ventricle_2	Adult_Heart
Pooled_Heart	Adult_Heart
